verb1,verb2,nominal_appositive,vp1_ONLY_USED_FOR_CREATING_NOMINAL_APPOSITIVE,vp2,subj,prn,name1,name2
is,does,a religious Christian,would wake up early on Christmas Eve,owns a lot of jewelry,The dancer,he,Makenzie,Caroline
is,does,a night owl,would stay out late on the weekends,finds humor in the worst situations,The banker,she,Jared,Morgan
is,does,a summer hiking enthusiast,would go hiking during the summer months,drinks two bottles of wine every day,The farmer,he,Kendra,Angel
is,does,the ex-husband of that famous German librarian,would drive to the nearest library when the weather is bad,never forgets to greet people with with a big smile,The motorcyclist,he,Alyssa,Landon
is,does,a frequent pasta maker,would make pasta for dinner,enjoys hiking,The tenant,she,Kaylee,Crystal
is,has,a winter skiing enthusiast,would go skiing in the winters,has been a long time fan of Ariana Grande,The painter,he,Malik,Hope
is,has,an evening park walker,would go to the park for a walk in the evenings,has been participating in marathons since last year,The gardener,he,Karen,Sergio
is,has,Dave's old swimming coach,would swim in the Lake on Monday mornings,has been a long time fan of Ariana Grande,The swimmer,she,Cameron,Natalie
is,has,a son of a banana farmer,would bake banana bread at night,has undergone chemotherapy,The colleague,she,Vincent,Stephanie
is,has,a ski Olympics champion,would go skiing in the winters,has been a fan of Rihanna since her debut,The contactor,he,Gabriella,Nicolas
is,has,a religious Christian,would wake up early on Christmas Eve,has been keeping a diary for 15 years,The analyst,he,Ashlyn,Britney
is,has,a Sunday picnic fan,would go out for a picnic on Sundays,has been dreaming of buying a private jet,The Marine,he,Jonathan,Wyatt
is,has,a salad-and-eggs lunch eater,would have salad and boiled eggs for lunch,has been a fan of Rihanna since her debut,The lecturer,she,Nicholas,Hayley
is,has,a sunny-day yellow-hat wearer,would wear a yellow hat on sunny days,has been earning money by making YouTube videos,The philosopher,she,Patrick,Abigail
is,has,a bookworm,would read books at a park nearby,has been neighbors with the mayor,The tenant,she,Wyatt,Margaret
was,is,previously a salad-and-eggs lunch eater,would have salad and boiled eggs for lunch,is an avid foodie,The reporter,she,Monica,William
was,is,once a couch sleeper,would sleep on the couch,is planning a honeymoon,The author,she,Abigail,Veronica
was,is,once a bookworm,would read books at a park nearby,is always trustworthy,The administrator,he,Michaela,Dominic
was,is,previously a weekend lottery-ticket buyer,would buy lottery tickets on the weekends,is lying on the red futon,The director,she,Devon,Isabel
was,is,previously a Sunday picnic fan,would go out for a picnic on Sundays,is discreet and good at thinking fast,The athlete,he,Mya,Miranda
was,is,once a ski Olympics champion,would go skiing in the winters,is only in it for the money,The player,she,Miguel,Erika
was,is,formerly a weekly movie-goer,would go to the movies every week,is a cordial person,The patient,she,Ricardo,Jasmin
was,is,once a religious Christian,would wake up early on Christmas Eve,is wearing a wedding ring,The dealer,she,Bryan,Alejandra
was,is,previously an evening park walker,would go to the park for a walk in the evenings,is vegan,The architect,he,Breanna,Gage
was,is,formerly a weekly movie-goer,would go to the movies every week,is never late,The administrator,he,Matthew,Natalie
is,was,a Sunday picnic fan,would go out for a picnic on Sundays,was born in Ecuador,The professor,she,Ashley,Holly
is,was,a religious Christian,would wake up early on Christmas Eve,was born in Ecuador,The diver,she,Kevin,Johnathan
is,was,a sunny-day yellow-hat wearer,would wear a yellow hat on sunny days,was surprised about the exciting news,The director,she,Kelsey,Alicia
is,was,a son of a banana farmer,would bake banana bread at night,was happy about the cross-country road trip,The receptionist,he,Nathaniel,Emma
is,was,an evening park walker,would go to the park for a walk in the evenings,was born in Ecuador,The cheerleader,she,Peter,Kennedy
is,was,a couch sleeper,would sleep on the couch,was singing a song,The waitress,she,Amaya,Isaac
is,was,an evening park walker,would go to the park for a walk in the evenings,was singing a song,The rapper,he,Megan,Kaleb
is,was,a true banana lover,would eat bananas at night,was disappointed with the weather,The solider,he,Christopher,Esmeralda
is,was,a salad-and-eggs lunch eater,would have salad and boiled eggs for lunch,was nervous about the stressful situation,The author,she,Eduardo,Emma
is,was,Dave's old swimming coach,would swim in the Lake on Monday mornings,was being chased by a few people,The writer,he,Thomas,Chase
